asset,native_start,native_end,return_basis,data_quality,period_return,total_return,price_return,price_return_provisional,cagr,max_drawdown
dividend_low_vol,2005-01-01,2026-08-17,total_return_adjusted,verified,22.30491,22.30491,,,0.15674815810188902,-0.6616550242281927
nasdaq100,2005-01-03,2026-08-17,total_return_adjusted,verified,16.684384678002196,16.684384678002196,,,0.14211678858183951,-0.5736093618743645
gold,2005-01-03,2026-08-17,total_return_adjusted,verified_no_distribution,6.727448568445973,6.727448568445973,,,0.0992043001242473,-0.45555206205132526
long_bond,2017-08-24,2026-08-17,total_return_adjusted,verified,0.40700056925520167,0.40700056925520167,,,0.03875603976718622,-0.04619648101508522
