date,asset,side,reason,units,price_cny,gross_value_cny,fee_cny,cash_change_cny,mode,pre_trade_weight,target_weight,upper_weight_threshold,post_sell_target_weight,position_value_cny,sell_fraction
2006-01-03,nasdaq100,buy,monthly_contribution,14.997901504896864,333.37997308273316,5000.0,0.3,-5000.3,sell_all,,,,,,
2006-01-03,gold,buy,monthly_contribution,2.332623286384865,428.68902399999996,999.9700000000003,0.3,-1000.2700000000002,sell_all,,,,,,
2006-02-01,nasdaq100,buy,monthly_contribution,17.401373880321373,339.7964523010254,5912.925109696931,0.3547755065818159,-5913.279885203513,sell_all,,,,,,
2006-02-01,gold,buy,monthly_contribution,1.9701021218565493,457.09272000000004,900.5193375571816,0.3,-900.8193375571816,sell_all,,,,,,
2006-03-01,dividend_low_vol,buy,monthly_contribution,6.114536648162884,1180.28,7216.865315093688,0.4330119189056213,-7217.298327012593,sell_all,,,,,,
2006-03-01,nasdaq100,buy,monthly_contribution,16.631236946271084,334.9047387733459,5569.880064968536,0.3341928038981122,-5570.214257772434,sell_all,,,,,,
2006-03-01,gold,buy,monthly_contribution,2.4532493344753767,450.98789999999997,1106.3857655314478,0.3,-1106.6857655314477,sell_all,,,,,,
2006-03-01,long_bond,buy,monthly_contribution,24.522161361043946,66.76722498495302,1637.2766647101428,0.3,-1637.5766647101427,sell_all,,,,,,
2006-04-03,dividend_low_vol,buy,monthly_contribution,2.0315482496256547,1226.76,2492.2221307107684,0.3,-2492.5221307107686,sell_all,,,,,,
2006-04-03,nasdaq100,buy,monthly_contribution,16.524389855035977,336.72157632827765,5564.1185998507135,0.33384711599104283,-5564.452446966705,sell_all,,,,,,
2006-04-03,gold,buy,monthly_contribution,1.7619628704562151,468.98787000000004,826.3392136343464,0.3,-826.6392136343463,sell_all,,,,,,
2006-04-03,long_bond,buy,monthly_contribution,8.452042656064542,66.97572527730752,566.0816869646633,0.3,-566.3816869646632,sell_all,,,,,,
2006-05-01,nasdaq100,buy,monthly_contribution,20.138531328476027,332.2037489910126,6690.095606492694,0.4014057363895617,-6690.497012229083,sell_all,,,,,,
2006-05-01,gold,buy,monthly_contribution,0.25652060521132974,522.35514,133.99485664804888,0.3,-134.2948566480489,sell_all,,,,,,
2006-05-18,nasdaq100,sell,ma250_sell_position,-160.68294103948566,312.7709688892364,50256.95915289198,3.015417549173519,50253.9437353428,sell_all,0.4654830650634451,0.5,,0.0,50256.95915289198,1.0
2006-05-18,long_bond,buy,sell_proceeds_to_long_bond,373.54677169691473,67.26109355375657,25125.16435780993,1.5075098614685958,-25126.671867671397,sell_all,,,,,,
2006-06-01,gold,buy,monthly_contribution,3.460184492482248,501.631104,1735.7361670075497,0.3,-1736.0361670075497,sell_all,,,,,,
2006-06-01,long_bond,buy,monthly_contribution,79.20171327307979,67.35012253445825,5334.2450938809525,0.32005470563285715,-5334.565148586586,sell_all,,,,,,
