mode,frequency,signal_basis,signal_dividends_used,cash_dividends_used,start_date,end_date,initial_capital_cny,final_nav_cny,total_return,cagr,max_drawdown,max_drawdown_date,max_drawdown_peak_date,max_drawdown_recovery_date,max_drawdown_recovery_days,trading_days,signal_check_dates,trade_rows,commission_total_cny,dividend_cash_total_cny,monthly_contribution_cny,strategy_start_date,contribution_days,total_contributions_cny,total_capital_added_cny,net_profit_after_contributions_cny,twr_total_return,account_value_return_vs_initial,annual_metrics_file,ma_days,ma_band,confirmation_days,sell_drift_band,released_to_cash_ratio,base_weights,paused_assets,cash_dividend_warning_assets,asset_coverage_warning_assets,data_quality
sell_all,daily,raw_price,False,True,2006-01-03,2026-08-17,50000.0,8982415.1410334,9.769135196808824,0.12217422824574076,-0.22938507943133868,2016-01-27,2015-06-12,2017-10-17,629,5354,5354,470,5998.296424196928,226547.7002525026,10000.0,2006-01-01,248,2480000.0,2530000.0,6452415.1410334,9.769135196808824,178.648302820668,daily_backtest\compare_h20269_daily_full_2006\results\annual_daily_raw_signal_monthly_10000_from_20060101_sell_all.csv,250,0.03,1,0.0,0.5,"{'dividend_low_vol': 0.3, 'nasdaq100': 0.5, 'gold': 0.1, 'long_bond': 0.05, 'cash': 0.05}",[],[],[],raw_signal_total_return_cash
sell_half,daily,raw_price,False,True,2006-01-03,2026-08-17,50000.0,11443784.049856363,12.67281322558238,0.1352423377958316,-0.267962311571754,2008-11-20,2007-10-10,2009-11-13,358,5354,5354,512,3433.560089075748,268885.47001267405,10000.0,2006-01-01,248,2480000.0,2530000.0,8913784.049856363,12.67281322558238,227.87568099712726,daily_backtest\compare_h20269_daily_full_2006\results\annual_daily_raw_signal_monthly_10000_from_20060101_sell_half.csv,250,0.03,1,0.0,0.5,"{'dividend_low_vol': 0.3, 'nasdaq100': 0.5, 'gold': 0.1, 'long_bond': 0.05, 'cash': 0.05}",[],[],[],raw_signal_total_return_cash
