mode,frequency,signal_basis,monthly_contribution_cny,strategy_start_date,year,start_date,end_date,starting_nav_cny,ending_nav_cny,annual_contribution_cny,cumulative_contributions_cny,annual_profit_cny,cumulative_profit_cny,annual_return,annualized_return,annual_max_drawdown,annual_drawdown_from_all_time_peak,annual_max_drawdown_peak_date,annual_max_drawdown_date,annual_max_drawdown_recovery_date,annual_max_drawdown_recovery_days,twr_index_end
sell_half,daily,raw_price,10000.0,2006-01-01,2006,2006-01-03,2006-12-29,50000.0,197802.1228728616,120000.0,120000.0,27802.122872861597,27802.122872861597,0.24119774785706194,0.24511508036414154,-0.052551672638546765,-0.052551672638546765,2006-06-02,2006-08-07,2006-10-12,66.0,1.241197747857062
sell_half,daily,raw_price,10000.0,2006-01-01,2007,2007-01-03,2007-12-31,197802.1228728616,466309.9630517404,120000.0,240000.0,148507.84017887875,176309.96305174037,0.6176147681267266,0.6246146421988559,-0.11769435166339737,-0.11769435166339737,2007-10-10,2007-11-12,,,2.0077798070992166
sell_half,daily,raw_price,10000.0,2006-01-01,2008,2008-01-02,2008-12-31,466309.9630517404,480044.4175686793,120000.0,360000.0,-106265.54548306105,70044.41756867932,-0.20475395709479705,-0.20537937666133854,-0.24318236063505494,-0.267962311571754,2008-01-03,2008-11-20,,,1.5966789466206228
sell_half,daily,raw_price,10000.0,2006-01-01,2009,2009-01-02,2009-12-31,480044.4175686793,806652.316827497,120000.0,480000.0,206607.89925881766,276652.316827497,0.372917481391809,0.3756172175787156,-0.08644267030301434,-0.2528336012325475,2009-08-04,2009-09-01,2009-10-19,48.0,2.1921084379857145
sell_half,daily,raw_price,10000.0,2006-01-01,2010,2010-01-04,2010-12-31,806652.316827497,1001865.8996124773,120000.0,600000.0,75213.5827849803,351865.8996124773,0.08234215375984721,0.08335088447295336,-0.13373355034915846,-0.13373355034915846,2010-04-23,2010-07-05,2010-11-01,119.0,2.372611368044595
sell_half,daily,raw_price,10000.0,2006-01-01,2011,2011-01-03,2011-12-30,1001865.8996124773,1076950.960655463,120000.0,720000.0,-44914.938957014354,306950.9606554629,-0.03914653224171294,-0.039598151721411345,-0.108819788553292,-0.108819788553292,2011-04-27,2011-10-03,,,2.2797318606283876
sell_half,daily,raw_price,10000.0,2006-01-01,2012,2012-01-03,2012-12-31,1076950.960655463,1263743.042427154,120000.0,840000.0,66792.0817716911,373743.042427154,0.06253773268441654,0.06293731409021519,-0.07551420926053332,-0.09032971665832012,2012-09-14,2012-11-15,,,2.422301122320519
sell_half,daily,raw_price,10000.0,2006-01-01,2013,2013-01-02,2013-12-31,1263743.042427154,1585938.9333087723,120000.0,960000.0,202195.89088161825,575938.9333087723,0.15128718194677382,0.15229295594390058,-0.0819273792854075,-0.0819273792854075,2013-05-21,2013-06-24,2013-09-10,78.0,2.7887642329428983
sell_half,daily,raw_price,10000.0,2006-01-01,2014,2014-01-02,2014-12-31,1585938.9333087723,2184386.812338036,120000.0,1080000.0,478447.87902926374,1054386.812338036,0.2859094288910209,0.28791530631204254,-0.03904585320132814,-0.03904585320132814,2014-09-05,2014-10-16,2014-10-29,13.0,3.586098222095309
sell_half,daily,raw_price,10000.0,2006-01-01,2015,2015-01-02,2015-12-31,2184386.812338036,2419500.055484751,120000.0,1200000.0,115113.24314671475,1169500.0554847508,0.05263188219024495,0.05296660436598488,-0.19493928794372628,-0.19493928794372628,2015-06-12,2015-09-29,,,3.774841321243279
sell_half,daily,raw_price,10000.0,2006-01-01,2016,2016-01-04,2016-12-30,2419500.055484751,2732466.4618628183,120000.0,1320000.0,192966.40637806756,1362466.4618628183,0.07592318853821678,0.07685052426420991,-0.05743665451999358,-0.1988417718153931,2016-01-06,2016-02-09,2016-06-06,118.0,4.061439310577885
