mode,frequency,signal_basis,signal_dividends_used,cash_dividends_used,start_date,end_date,initial_capital_cny,final_nav_cny,total_return,cagr,max_drawdown,max_drawdown_date,max_drawdown_peak_date,max_drawdown_recovery_date,max_drawdown_recovery_days,trading_days,signal_check_dates,trade_rows,commission_total_cny,dividend_cash_total_cny,monthly_contribution_cny,strategy_start_date,contribution_days,total_contributions_cny,total_capital_added_cny,net_profit_after_contributions_cny,twr_total_return,account_value_return_vs_initial,annual_metrics_file,ma_days,ma_band,confirmation_days,sell_drift_band,base_weights,paused_assets,cash_dividend_warning_assets,asset_coverage_warning_assets,data_quality
sell_all,daily,raw_price,False,True,2016-01-04,2026-08-17,50000.0,1861599.9599916008,1.016057963327103,0.06826662712974274,-0.08256389154053989,2020-03-12,2020-01-13,2020-07-20,130,2757,2757,208,410.81230406040163,46732.53132592182,10000.0,2016-01-01,128,1280000.0,1330000.0,531599.9599916008,1.016057963327103,36.23199919983202,项目\daily_backtest\compare_h20269_daily_full_2016\results\annual_daily_raw_signal_monthly_10000_from_20160101_sell_all.csv,250,0.03,1,0.0,"{'dividend_low_vol': 0.3, 'nasdaq100': 0.5, 'gold': 0.1, 'long_bond': 0.05, 'cash': 0.05}",[],[],[],raw_signal_total_return_cash
sell_half,daily,raw_price,False,True,2016-01-04,2026-08-17,50000.0,2403019.326546642,1.851561800189061,0.10372794708363098,-0.1016967201377047,2020-03-20,2020-02-20,2020-05-20,61,2757,2757,201,262.35182944453965,45343.239198341245,10000.0,2016-01-01,128,1280000.0,1330000.0,1073019.326546642,1.851561800189061,47.06038653093284,项目\daily_backtest\compare_h20269_daily_full_2016\results\annual_daily_raw_signal_monthly_10000_from_20160101_sell_half.csv,250,0.03,1,0.0,"{'dividend_low_vol': 0.3, 'nasdaq100': 0.5, 'gold': 0.1, 'long_bond': 0.05, 'cash': 0.05}",[],[],[],raw_signal_total_return_cash
