date,nav_cny,cash_cny,contribution_cny,dividend_cash_cny,trade_cost_cny,dividend_low_vol_value_cny,dividend_low_vol_weight,nasdaq100_value_cny,nasdaq100_weight,gold_value_cny,gold_weight,long_bond_value_cny,long_bond_weight,invested_value_cny,account_daily_return,twr_daily_return,twr_index,twr_peak_index,drawdown,daily_return,peak_nav_cny,peak_twr_value_cny
2016-01-04,59998.8,2999.054999999997,10000.0,0.0,1.2,18000.0,0.3000060001200024,29999.850000000002,0.5000075001500031,5999.9400000000005,0.1000010000200004,2999.9550000000004,0.0500002500050001,56999.74500000001,0.0,-2.399999999991298e-05,0.9999760000000001,0.9999760000000001,0.0,-2.399999999991298e-05,59998.8,49998.8
2016-01-05,59999.59755653225,9056.694371924039,0.0,0.0,1.4466865616782931,9000.15663646409,0.1500036167406631,29893.250923774965,0.49822419051409855,3000.009877826613,0.05000050000335372,9049.485746542554,0.15082577408983508,50942.903184608214,1.3292874728287885e-05,1.3292874728287885e-05,0.9999892925556993,0.9999892925556993,0.0,1.3292874728287885e-05,59999.59755653225,49999.46462778497
2016-01-06,60102.04259784488,9056.694371924039,0.0,0.0,0.0,9178.690478863358,0.1527184448668386,29758.179261968646,0.4951275859472321,3058.9645681077845,0.050896183155969346,9049.513916981046,0.150569157483269,51045.348225920825,0.0017074288076033284,0.0017074288076033284,1.001696703081104,1.001696703081104,0.0,0.0017074288076033284,60102.04259784488,50084.835154055196
2016-01-07,58870.87140379317,9056.694371924039,0.0,0.0,0.0,8642.413205957524,0.14680287551171997,28989.927750920342,0.4924324552982999,3119.8215259291774,0.05299431538103852,9062.014549062085,0.153930362044517,49814.17703186913,-0.020484681399095317,-0.020484681399095317,0.9811772652599633,1.001696703081104,-0.020484681399095317,-0.020484681399095317,60102.04259784488,50084.835154055196
2016-01-08,58844.837247466974,9056.694371924039,0.0,0.0,0.0,8849.647977550232,0.15038953953315884,28754.808705620737,0.48865474102162654,3106.290583892997,0.05278781842542542,9077.395608478977,0.1542598473049515,49788.14287554294,-0.0004422247489361819,-0.0004422247489361819,0.9807433643901718,1.001696703081104,-0.020917847314942728,-0.0004422247489361819,60102.04259784488,50084.835154055196
2016-01-11,58332.856713746005,9056.694371924039,0.0,0.0,0.0,8396.660929007538,0.14394393489439516,28730.846640211323,0.49253282384575836,3066.660340040239,0.052571749658843425,9081.994432562871,0.15569260523499648,49276.16234182197,-0.008700517456916024,-0.008700517456916024,0.9722103896275406,1.001696703081104,-0.029436368676134084,-0.008700517456916024,60102.04259784488,50084.835154055196
2016-01-12,58683.17072754845,9056.694371924039,0.0,0.0,0.0,8409.390517074879,0.1433015703278477,29075.12500963314,0.49545933952038484,3052.304037083576,0.05201327738841301,9089.656791832826,0.1548937570881074,49626.476355624414,0.0060054321618694395,0.0060054321618694395,0.9780489331695135,1.001696703081104,-0.02360771462944089,0.0060054321618694395,60102.04259784488,50084.835154055196
2016-01-13,57606.1870158971,9056.694371924039,0.0,0.0,0.0,8296.522720437622,0.1440213829488159,28072.344676385612,0.48731475090754955,3067.241903496709,0.0532450082601417,9113.383343653117,0.15820146785862033,48549.49264397306,-0.018352513988235564,-0.018352513988235564,0.960099276442341,1.001696703081104,-0.04152696770470943,-0.018352513988235564,60102.04259784488,50084.835154055196
2016-01-14,58407.20608442256,9056.694371924039,0.0,0.0,0.0,8443.789626292722,0.14456760034177898,28753.504174540707,0.49229377849335926,3026.2212036104884,0.051812462990206164,9126.996708054605,0.15626490838925458,49350.511712498526,0.013905087457088738,0.013905087457088738,0.9734495408487595,1.001696703081104,-0.02819931636538231,0.013905087457088738,60102.04259784488,50084.835154055196
2016-01-15,57242.73210023547,9056.694371924039,0.0,0.0,0.0,8184.330669508389,0.14297589177220146,27839.521788532817,0.48634159773827945,3054.992380475836,0.05336908753981833,9107.192889794393,0.15909780256202916,48186.037728311436,-0.01993716293335357,-0.01993716293335357,0.9540417187454595,1.001696703081104,-0.047574264933750054,-0.01993716293335357,60102.04259784488,50084.835154055196
2016-01-18,57236.46443578942,9056.694371924039,0.0,0.0,0.0,8185.316892974151,0.1430087789953698,27839.521788532817,0.48639485445095076,3054.992380475836,0.05337493170814335,9099.939001882582,0.15898848909668983,48179.770063865384,-0.00010949275508154166,-0.00010949275508154166,0.9539372580892114,1.001696703081104,-0.04767854865149301,-0.00010949275508154166,60102.04259784488,50084.835154055196
2016-01-19,57475.166743866896,9056.694371924039,0.0,0.0,0.0,8407.408938444598,0.1462789829894968,27876.104653055434,0.4850112880451984,3049.414872629911,0.05305621619541122,9085.543907812924,0.15807773030571384,48418.47237194286,0.0041704586478303884,0.0041704586478303884,0.9579156139766971,1.001696703081104,-0.04370693141920223,0.0041704586478303884,60102.04259784488,50084.835154055196
2016-01-20,57294.52655974626,9056.694371924039,0.0,0.0,0.0,8284.213190513108,0.1445899580280919,27789.75088369247,0.4850332580148568,3090.0853638743306,0.05393334319033102,9073.782749742315,0.158370847872881,48237.83218782222,-0.0031429257948157874,-0.0031429257948157874,0.954904956284273,1.001696703081104,-0.04671248957184837,-0.0031429257948157874,60102.04259784488,50084.835154055196
2016-01-21,57117.13925335325,9056.694371924039,0.0,0.0,0.0,8072.038169892829,0.14132427280868995,27822.83075523537,0.4871187723849797,3094.2158642690433,0.05417315896274317,9071.360092031964,0.1588202807531086,48060.444881429205,-0.0030960602529462866,-0.0030960602529462866,0.9519485130037798,1.001696703081104,-0.04966392514251505,-0.0030960602529462866,60102.04259784488,50084.835154055196
2016-01-22,57997.49906624977,9056.694371924039,0.0,0.0,0.0,8149.48410705145,0.1405144055908756,28625.798765497842,0.49356953707260676,3079.5623999957497,0.053098193018254226,9085.95942178069,0.15666122795056936,48940.804694325736,0.015413233652888936,0.015413233652888936,0.9666211178602272,1.001696703081104,-0.03501617317196737,0.015413233652888936,60102.04259784488,50084.835154055196
2016-01-25,57623.0485978549,9056.694371924039,0.0,0.0,0.0,8176.057350434494,0.14188866346684162,28201.836403465128,0.48941937453331796,3111.332482717939,0.053994583043177675,9077.127989313298,0.1575259936811328,48566.35422593086,-0.006456320952169747,-0.006456320952169747,0.9603803016841764,1.001696703081104,-0.04124641847162214,-0.006456320952169747,60102.04259784488,50084.835154055196
2016-01-26,57463.06142290679,9056.694371924039,0.0,0.0,0.0,7737.909312372021,0.1346588420589687,28466.013638891014,0.4953793434253655,3147.676395959807,0.0547773877342538,9054.767703759895,0.1575754489848734,48406.367050982735,-0.0027764441285403896,-0.0027764441285403896,0.9577138594343996,1.001696703081104,-0.043908344223773654,-0.0027764441285403896,60102.04259784488,50084.835154055196
2016-01-27,56723.22011640675,9056.694371924039,0.0,0.0,0.0,7709.829338694063,0.13592016325716413,27739.486527555797,0.4890322952510301,3157.737711244717,0.05566922513856659,9059.472166988138,0.15971364369646843,47666.525744482715,-0.01287507640873986,-0.01287507640873986,0.9453832203164725,1.001696703081104,-0.05621809734565131,-0.01287507640873986,60102.04259784488,50084.835154055196
2016-01-28,56919.23784161993,16000.15609431639,0.0,0.0,1.2499481028409503,7559.448523562806,0.13281007986433824,14230.121947430693,0.2500054900072025,3122.639449416691,0.05486087951679116,16006.871826893354,0.281220768827459,40919.08174730354,0.0034556875440237,0.0034556875440237,0.9486501693352491,1.001696703081104,-0.05295668198037362,0.0034556875440237,60102.04259784488,50084.835154055196
2016-01-29,57449.38735790302,16000.15609431639,0.0,0.0,0.0,7766.674163456759,0.13519159247201853,14529.047732262958,0.2529017000955759,3135.330933915682,0.05457553297101211,16018.178433951234,0.2788224412935832,41449.23126358664,0.009314065619751455,0.009314065619751455,0.957485959262626,1.001696703081104,-0.04413585837159162,0.009314065619751455,60102.04259784488,50084.835154055196
2016-02-01,67449.64848454215,8303.684531098716,10000.0,0.0,1.0617245903176413,7678.1971341996095,0.11383598442265076,14573.87706052953,0.21607046719998127,3168.5346541480644,0.04697629602731313,33725.355104566224,0.5000078704975797,59145.963953443425,0.1740708053915121,4.545333747607572e-06,0.9574903113558695,1.001696703081104,-0.044131513650050636,4.545333747607572e-06,67449.64848454215,50084.835154055196
2016-02-02,67259.6866396975,8303.684531098716,0.0,0.0,0.0,7802.936139221041,0.11601207988108068,14262.103864521494,0.2120453510424746,3170.526837773786,0.047138590680000314,33720.43526708245,0.5013468981459726,58956.00210859877,-0.0028163504052685084,-0.0028163504052685084,0.9547936831294417,1.001696703081104,-0.04682357424896577,-0.0028163504052685084,67449.64848454215,50084.835154055196
2016-02-03,67123.78582787828,8303.684531098716,0.0,0.0,0.0,7754.812086771338,0.11553001653775255,14187.218964055133,0.2113590404515415,3203.0911368989655,0.04771916687048121,33674.979109054126,0.5016847410157252,58820.10129677956,-0.0020205388786186385,-0.0020205388786186385,0.9528644853716192,1.001696703081104,-0.048749504275378386,-0.0020205388786186385,67449.64848454215,50084.835154055196
2016-02-04,67230.2181172347,4815.864535828026,0.0,0.0,0.2999999999999998,7827.746964743972,0.11643197335897533,14158.4286066228,0.21059620217107752,6723.05181172347,0.10000044622791417,33705.12619831644,0.5013389386829314,62414.35358140668,0.0015856121350088515,0.0015856121350088515,0.9543753588626434,1.001696703081104,-0.0472411899459243,0.0015856121350088515,67449.64848454215,50084.835154055196
2016-02-05,66832.41651372984,4815.864535828026,0.0,0.0,0.0,7807.940310139911,0.11682863971461921,13681.740377417313,0.20471712817097643,6836.949483400892,0.10229989936090865,33689.92180694369,0.5040955207720573,62016.55197790181,-0.005917005992918001,-0.005917005992918001,0.9487283141447598,1.001696703081104,-0.05287866953481979,-0.005917005992918001,67449.64848454215,50084.835154055196
