date,nav_cny,cash_cny,contribution_cny,dividend_cash_cny,trade_cost_cny,dividend_low_vol_value_cny,dividend_low_vol_weight,nasdaq100_value_cny,nasdaq100_weight,gold_value_cny,gold_weight,long_bond_value_cny,long_bond_weight,invested_value_cny,account_daily_return,twr_daily_return,twr_index,twr_peak_index,drawdown,daily_return,peak_nav_cny,peak_twr_value_cny
2016-01-04,59998.8,2999.054999999997,10000.0,0.0,1.2,18000.0,0.3000060001200024,29999.850000000002,0.5000075001500031,5999.9400000000005,0.1000010000200004,2999.9550000000004,0.0500002500050001,56999.74500000001,0.0,-2.399999999991298e-05,0.9999760000000001,0.9999760000000001,0.0,-2.399999999991298e-05,59998.8,49998.8
2016-01-05,59998.7538781982,15056.23413221283,0.0,0.0,2.2903648957363014,0.0,0.0,29893.250923774965,0.4982311963421844,0.0,0.0,15049.268822210403,0.2508263563733591,44942.519745985366,-7.687120709976014e-07,-7.687120709976014e-07,0.9999752313063782,0.9999760000000001,-7.687120709976014e-07,-7.687120709976014e-07,59998.8,49998.8
2016-01-06,59863.729063750245,15056.23413221283,0.0,0.0,0.0,0.0,0.0,29758.179261968646,0.49709865602055103,0.0,0.0,15049.315669568761,0.25139288689387196,44807.49493153741,-0.0022504603132602607,-0.0022504603132602607,0.9977248267340799,0.9999760000000001,-0.002251227295375302,-0.0022504603132602607,59998.8,49998.8
2016-01-07,59116.266067972756,15056.23413221283,0.0,0.0,0.0,0.0,0.0,28989.927750920342,0.49038834282238486,0.0,0.0,15070.104184839583,0.25492314023202606,44060.03193575992,-0.012486074747891096,-0.012486074747891096,0.9852671599696515,0.9999760000000001,-0.014709193050981728,-0.012486074747891096,59998.8,49998.8
2016-01-08,58906.72568033595,15056.23413221283,0.0,0.0,0.0,0.0,0.0,28754.808705620737,0.4881413518324203,0.0,0.0,15095.682842502383,0.2562641645441443,43850.49154812312,-0.0035445470692596626,-0.0035445470692596626,0.9817748341453433,0.9999760000000001,-0.018201602693121433,-0.0035445470692596626,59998.8,49998.8
2016-01-11,58890.411446178274,15056.23413221283,0.0,0.0,0.0,0.0,0.0,28730.846640211323,0.48786968769048783,0.0,0.0,15103.330673754124,0.2564650221124285,43834.17731396545,-0.0002769502797729251,-0.0002769502797729251,0.9815029313303527,0.9999760000000001,-0.018473512033936212,-0.0002769502797729251,59998.8,49998.8
2016-01-12,59247.43229707314,15056.23413221283,0.0,0.0,0.0,0.0,0.0,29075.12500963314,0.4907406765553529,0.0,0.0,15116.073155227168,0.25513465426541215,44191.19816486031,0.006062461479338754,0.006062461479338754,0.9874532550434011,0.9999760000000001,-0.012523045509691189,0.006062461479338754,59998.8,49998.8
2016-01-13,58284.1091514016,15056.23413221283,0.0,0.0,0.0,0.0,0.0,28072.344676385612,0.4816466286456149,0.0,0.0,15155.530342803166,0.2600285148638788,43227.87501918878,-0.01625932311870204,-0.01625932311870204,0.9713979335050363,0.9999760000000001,-0.028578752385020945,-0.01625932311870204,59998.8,49998.8
2016-01-14,58987.90763548262,15056.23413221283,0.0,0.0,0.0,0.0,0.0,28753.504174540707,0.4874474333319936,0.0,0.0,15178.169328729078,0.2573098442908501,43931.67350326978,0.0120753065342869,0.0120753065342869,0.9831278613188825,0.9999760000000001,-0.016848543046150688,0.0120753065342869,59998.8,49998.8
2016-01-15,58040.99155654991,15056.23413221283,0.0,0.0,0.0,0.0,0.0,27839.521788532817,0.47965275991897033,0.0,0.0,15145.235635804262,0.260940332507037,42984.75742433708,-0.016052715156201214,-0.016052715156201214,0.9673459897990052,0.9999760000000001,-0.03263079334003505,-0.016052715156201214,59998.8,49998.8
