date,raw_close_cny,total_return_close_cny,ma250,signal_valid
2005-01-04,58.32034594396037,58.32034594396037,,True
2005-01-05,58.34128562986509,58.34128562986509,,True
2005-01-06,58.36223283407994,58.36223283407994,,True
2005-01-07,58.38318755930429,58.38318755930429,,True
2005-01-10,58.44609688804317,58.44609688804317,,True
2005-01-11,58.46708172431917,58.46708172431917,,True
2005-01-12,58.48807409511632,58.48807409511632,,True
2005-01-13,58.50907400313987,58.50907400313987,,True
2005-01-14,58.530081451096024,58.530081451096024,,True
2005-01-17,58.59314906163683,58.59314906163683,,True
2005-01-18,58.614186696404964,58.614186696404964,,True
2005-01-19,58.635231884651326,58.635231884651326,,True
2005-01-20,58.656284629088,58.656284629088,,True
2005-01-21,58.67734493242797,58.67734493242797,,True
2005-01-24,58.740571223012566,58.740571223012566,,True
2005-01-25,58.76166178911544,58.76166178911544,,True
2005-01-26,58.78275992770138,58.78275992770138,,True
2005-01-27,58.80386564148919,58.80386564148919,,True
2005-01-28,58.82497893319876,58.82497893319876,,True
2005-01-31,58.888364303070986,58.888364303070986,,True
2005-02-01,58.909507933685504,58.909507933685504,,True
2005-02-02,58.93065915583564,58.93065915583564,,True
2005-02-03,58.95181797224713,58.95181797224713,,True
2005-02-04,58.97298438564663,58.97298438564663,,True
2005-02-16,59.227574905358914,59.227574905358914,,True
2005-02-17,59.24884032817738,59.24884032817738,,True
2005-02-18,59.27011338626046,59.27011338626046,,True
2005-02-21,59.333978399516546,59.333978399516546,,True
2005-02-22,59.35528202608211,59.35528202608211,,True
2005-02-23,59.3765933016292,59.3765933016292,,True
2005-02-24,59.397912228904154,59.397912228904154,,True
2005-02-25,59.41923881065429,59.41923881065429,,True
2005-02-28,59.48326451024388,59.48326451024388,,True
2005-03-01,59.504621737387716,59.504621737387716,,True
2005-03-02,59.52598663275817,59.52598663275817,,True
2005-03-03,59.547359199108456,59.547359199108456,,True
2005-03-04,59.568739439192846,59.568739439192846,,True
2005-03-07,59.632926229407644,59.632926229407644,,True
2005-03-08,59.654337191990486,59.654337191990486,,True
2005-03-09,59.675755842093416,59.675755842093416,,True
2005-03-10,59.69718218247663,59.69718218247663,,True
2005-03-11,59.71861621590125,59.71861621590125,,True
2005-03-14,59.78296450205026,59.78296450205026,,True
2005-03-15,59.80442933527211,59.80442933527211,,True
2005-03-16,59.82590187535608,59.82590187535608,,True
2005-03-17,59.84738212506929,59.84738212506929,,True
2005-03-18,59.86887008717987,59.86887008717987,,True
2005-03-21,59.9333802755918,59.9333802755918,,True
2005-03-22,59.95489911499283,59.95489911499283,,True
2005-03-23,59.97642568064668,59.97642568064668,,True
2005-03-24,59.997959975327454,59.997959975327454,,True
2005-03-25,60.01950200181021,60.01950200181021,,True
2005-03-28,60.084174499836124,60.084174499836124,,True
2005-03-29,60.105747481297534,60.105747481297534,,True
2005-03-30,60.127328208451274,60.127328208451274,,True
2005-03-31,60.14891668407838,60.14891668407838,,True
2005-04-01,60.17051291096094,60.17051291096094,,True
2005-04-04,60.235348126976824,60.235348126976824,,True
2005-04-05,60.25697538672169,60.25697538672169,,True
2005-04-06,60.2786104116473,60.2786104116473,,True
2005-04-07,60.30025320454169,60.30025320454169,,True
2005-04-08,60.3219037681939,60.3219037681939,,True
2005-04-11,60.38690211160319,60.38690211160319,,True
2005-04-12,60.408583786197376,60.408583786197376,,True
2005-04-13,60.430273245509724,60.430273245509724,,True
2005-04-14,60.45197049233529,60.45197049233529,,True
2005-04-15,60.47367552947016,60.47367552947016,,True
2005-04-18,60.538837410706385,60.538837410706385,,True
2005-04-19,60.56057363705929,60.56057363705929,,True
2005-04-20,60.58231766771696,60.58231766771696,,True
2005-04-21,60.60406950548147,60.60406950548147,,True
2005-04-22,60.62582915315593,60.62582915315593,,True
2005-04-25,60.69115498368531,60.69115498368531,,True
2005-04-26,60.712945899050844,60.712945899050844,,True
2005-04-27,60.73474463835701,60.73474463835701,,True
2005-04-28,60.75655120441292,60.75655120441292,,True
2005-04-29,60.778365600028806,60.778365600028806,,True
2005-05-09,60.996940800941495,60.996940800941495,,True
2005-05-10,61.0188415074762,61.0188415074762,,True
2005-05-11,61.040750077371605,61.040750077371605,,True
2005-05-12,61.062666513451006,61.062666513451006,,True
2005-05-13,61.084590818538736,61.084590818538736,,True
