asset,announcement_date,ex_date,record_date,pay_date,amount_per_share,amount_per_10,currency,source_url,source_sha256,source_type,pay_date_assumed,adjustment_price_date,adjustment_factor,status,message
nasdaq100,,2007-12-21,,2007-12-21,0.053,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2007-12-21,0.9989788643901484,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2008-03-20,,2008-03-20,0.033,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2008-03-20,0.9992347471214147,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2008-06-20,,2008-06-20,0.034,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2008-06-20,0.9992835166411278,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2008-09-19,,2008-09-19,0.028,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2008-09-19,0.9993477450846828,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2008-12-19,,2008-12-19,0.043,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2008-12-19,0.9985620172182615,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2009-03-20,,2009-03-20,0.049,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2009-03-20,0.9983235827606692,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2009-06-19,,2009-06-19,0.044,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2009-06-19,0.998784664672814,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2009-09-18,,2009-09-18,0.041,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2009-09-18,0.9990348626132762,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2009-12-18,,2009-12-18,0.073,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2009-12-18,0.9983607661396995,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2010-03-19,,2010-03-19,0.051,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2010-03-19,0.9989272417871013,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2010-06-18,,2010-06-18,0.089,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2010-06-18,0.998109961986876,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
