asset,announcement_date,ex_date,record_date,pay_date,amount_per_share,amount_per_10,currency,source_url,source_sha256,source_type,pay_date_assumed,adjustment_price_date,adjustment_factor,status,message
nasdaq100,,2021-03-22,2021-03-23,2021-04-30,0.39468,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2021-03-22,0.9987627767149894,applied,
nasdaq100,,2021-06-21,2021-06-22,2021-07-30,0.39679,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2021-06-21,0.9988490726553658,applied,
nasdaq100,,2021-09-20,2021-09-21,2021-10-29,0.41391,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2021-09-20,0.9988694502588025,applied,
nasdaq100,,2021-12-20,2021-12-21,2021-12-31,0.49141,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2021-12-20,0.9987108238125973,applied,
nasdaq100,,2022-03-21,2022-03-22,2022-04-29,0.43369,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2022-03-21,0.9987627016319559,applied,
nasdaq100,,2022-06-21,2022-06-22,2022-07-29,0.5274,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2022-06-21,0.9981271798072503,applied,
nasdaq100,,2022-09-19,2022-09-20,2022-10-31,0.51856,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2022-09-19,0.9982214816929836,applied,
nasdaq100,,2022-12-19,2022-12-20,2022-12-30,0.65541,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2022-12-19,0.9975761949437327,applied,
nasdaq100,,2023-03-20,2023-03-21,2023-04-28,0.47223,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2023-03-20,0.998458991771079,applied,
nasdaq100,,2023-06-20,2023-06-21,2023-07-31,0.50395,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2023-06-20,0.9986283489647515,applied,
nasdaq100,,2023-09-18,2023-09-19,2023-10-31,0.53555,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2023-09-18,0.9985572294853308,applied,
nasdaq100,,2023-12-18,2023-12-19,2023-12-29,0.80826,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2023-12-18,0.9980184278247968,applied,
nasdaq100,,2023-12-27,2023-12-28,2024-01-15,0.21584,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2023-12-27,0.9994757549284478,applied,
nasdaq100,,2024-03-18,2024-03-19,2024-04-30,0.57345,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2024-03-18,0.9986909132079249,applied,
nasdaq100,,2024-06-24,2024-06-24,2024-07-31,0.7615,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2024-06-24,0.998395901568168,applied,
nasdaq100,,2024-09-23,2024-09-23,2024-10-31,0.67686,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2024-09-23,0.9986007103658882,applied,
nasdaq100,,2024-12-23,2024-12-23,2024-12-31,0.83466,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2024-12-23,0.9984062391047236,applied,
nasdaq100,,2025-03-24,2025-03-24,2025-04-30,0.71571,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2025-03-24,0.9985434567071579,applied,
nasdaq100,,2025-06-23,2025-06-23,2025-07-31,0.59111,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2025-06-23,0.9988893943707475,applied,
nasdaq100,,2025-09-22,2025-09-22,2025-10-31,0.69395,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2025-09-22,0.9988489684032336,applied,
nasdaq100,,2025-12-22,2025-12-22,2025-12-31,0.79408,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2025-12-22,0.9987192342801063,applied,
nasdaq100,,2026-03-23,2026-03-23,2026-03-27,0.73282,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2026-03-23,0.9987552587946431,applied,
nasdaq100,,2026-06-22,2026-06-22,2026-07-10,0.81349,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2026-06-22,0.9988988492290568,applied,
