date,close
2005-01-04,353.7376238918305
2005-01-05,353.1582398452759
2005-01-06,348.8544876289368
2005-01-07,346.2887612628937
2005-01-10,347.1991813144684
2005-01-11,349.35105742263795
2005-01-12,352.5788873710633
2005-01-13,352.5788873710633
2005-01-14,350.26147747421265
2005-01-17,350.26147747421265
2005-01-18,350.26147747421265
2005-01-19,349.7648761081696
2005-01-20,349.68212500000004
2005-01-21,353.7376238918305
2005-01-24,353.98590878868106
2005-01-25,349.59937389183045
2005-01-26,353.32377363395693
2005-01-27,352.74442115974426
2005-01-28,353.32377363395693
2005-01-31,349.4338401031494
2005-02-01,348.44063737106325
2005-02-02,348.9372387371063
2005-02-03,344.96452252578734
2005-02-04,343.22646510314945
2005-02-16,351.9167837886811
2005-02-17,353.65484121131897
2005-02-18,353.820375
2005-02-21,353.820375
2005-02-22,360.60710247421264
2005-02-23,359.3656148452759
2005-02-24,358.62076015472417
2005-02-25,360.02775
2005-02-28,360.2760348968506
2005-03-01,357.7103401031494
2005-03-02,357.95862500000004
2005-03-03,355.6412151031494
2005-03-04,359.03457884025573
2005-03-07,359.77946510314945
2005-03-08,364.41428489685063
2005-03-09,364.33153378868104
2005-03-10,365.8213063144684
2005-03-11,367.72489752578736
2005-03-14,364.41428489685063
2005-03-15,364.66260136604313
2005-03-16,366.7317263660431
2005-03-17,362.6762274742127
2005-03-18,363.2555799484253
2005-03-21,356.6343862628937
2005-03-22,352.99273762893677
2005-03-23,351.0891148452759
2005-03-24,350.8408299484253
2005-03-25,350.8408299484253
2005-03-28,352.08231757736206
2005-03-29,352.2478513660431
2005-03-30,352.66167005157473
2005-03-31,354.3997274742127
2005-04-01,352.74442115974426
2005-04-04,350.9236126289368
2005-04-05,351.3374313144684
2005-04-06,352.8272038402558
2005-04-07,352.33060247421264
2005-04-08,353.32377363395693
2005-04-11,354.0686598968506
2005-04-12,354.56526126289367
2005-04-13,355.0618626289368
2005-04-14,350.1787263660431
2005-04-15,350.9236126289368
2005-04-18,353.32377363395693
2005-04-19,358.2069098968506
2005-04-20,359.2001126289368
2005-04-21,357.4620236339569
2005-04-22,359.1173299484253
2005-04-25,359.53114863395695
2005-04-26,361.1864549484253
2005-04-27,357.5448063144684
2005-04-28,355.8895
2005-04-29,358.78626237106323
2005-05-09,352.16506868553165
2005-05-10,352.9099549484253
2005-05-11,353.32377363395693
2005-05-12,348.9372387371063
2005-05-13,347.1991813144684
2005-05-16,346.61982884025576
2005-05-17,346.4542950515747
2005-05-18,348.0268186855316
2005-05-19,347.447466211319
2005-05-20,344.71623762893677
2005-05-23,344.46792115974426
2005-05-24,345.37834121131897
2005-05-25,346.5370461597443
2005-05-26,345.04727363395693
2005-05-27,346.61982884025576
2005-05-30,346.61982884025576
2005-05-31,344.71623762893677
2005-06-01,343.7230348968506
2005-06-02,348.44063737106325
2005-06-03,349.0199898452759
2005-06-06,351.585716211319
2005-06-07,350.75807884025573
2005-06-08,350.4270112628937
2005-06-09,349.84765878868103
2005-06-10,352.74442115974426
2005-06-13,354.0686598968506
2005-06-14,352.5788873710633
2005-06-15,353.7376238918305
2005-06-16,359.69668242263793
2005-06-17,361.1037038402558
2005-06-20,361.35198873710635
2005-06-21,362.5934763660431
2005-06-22,361.84859010314943
2005-06-23,364.33153378868104
2005-06-24,363.3383626289368
2005-06-27,363.42111373710634
2005-06-28,359.6139313144684
2005-06-29,361.1037038402558
2005-06-30,359.53114863395695
2005-07-01,353.4065563144684
2005-07-04,353.4065563144684
2005-07-05,349.9304098968506
2005-07-06,349.68212500000004
2005-07-07,350.59254505157475
2005-07-08,349.7648761081696
2005-07-11,352.08231757736206
2005-07-12,352.9099549484253
2005-07-13,350.50976237106323
2005-07-14,346.7853626289368
2005-07-15,348.0268186855316
2005-07-18,347.6957511081696
2005-07-19,346.7025799484253
2005-07-20,349.2683063144684
2005-07-21,351.42018242263794
2005-07-22,344.3162011882782
2005-07-25,344.74333338813784
2005-07-26,342.64327499999996
2005-07-27,344.30722085876465
2005-07-28,346.617
2005-07-29,347.08178952636723
2005-08-01,349.5514066566467
2005-08-02,349.5720430541992
2005-08-03,352.8149931060791
2005-08-04,353.9259384727478
2005-08-05,353.3213076347351
2005-08-08,351.52513762664796
2005-08-09,351.35738123703
2005-08-10,353.83564236907955
2005-08-11,360.0538961799621
2005-08-12,360.28003359222413
2005-08-15,357.32503164863584
2005-08-16,360.8639038200378
2005-08-17,355.6578257640839
2005-08-18,355.0536958328247
2005-08-19,353.3649076332092
2005-08-22,354.21472618408205
2005-08-23,354.5084984024048
2005-08-24,353.1007962360382
2005-08-25,354.22174229202267
2005-08-26,353.08836994171145
2005-08-29,352.71657552947994
2005-08-30,348.2648594089508
2005-08-31,351.531332359314
2005-09-01,357.95648788146974
2005-09-02,358.137375
2005-09-05,358.071
2005-09-06,358.2018547039032
2005-09-07,358.74053981781003
2005-09-08,361.0146876487732
2005-09-09,363.0067052352905
2005-09-12,363.267831060791
2005-09-13,360.66865111541745
2005-09-14,363.7803445922852
2005-09-15,367.40236518859865
2005-09-16,370.5509195320129
2005-09-19,374.1995
2005-09-20,373.9544662971497
2005-09-21,380.767177111435
2005-09-22,374.9643209365845
2005-09-23,374.45147012329096
2005-09-26,376.8863505302429
2005-09-27,374.25500000000005
2005-09-28,378.79451382484433
2005-09-29,381.18028765106203
2005-09-30,377.89640617370605
2005-10-10,383.31803135681156
2005-10-11,383.2855760635376
2005-10-12,378.99306265640257
2005-10-13,380.32127370262145
2005-10-14,378.59327382812506
2005-10-17,382.2246884250641
2005-10-18,380.277
2005-10-19,375.0018172348022
2005-10-20,372.00118629646306
2005-10-21,376.370063703537
2005-10-24,375.36931906127927
2005-10-25,380.7201171100616
2005-10-26,379.50883346786503
2005-10-27,381.5069184677124
2005-10-28,381.72648986816404
2005-10-31,375.120812335968
2005-11-01,369.77277629852296
2005-11-02,372.9656716358185
2005-11-03,371.5452285987854
2005-11-04,367.97564242858886
2005-11-07,370.17403270225526
2005-11-08,371.2603957660675
2005-11-09,376.4702031040191
2005-11-10,375.77685229911805
2005-11-11,378.3639538318634
2005-11-14,376.95066336364744
2005-11-15,377.2227687664032
2005-11-16,386.2296201324463
2005-11-17,391.9365562992096
2005-11-18,391.7118645996094
2005-11-21,396.0008805675506
2005-11-22,398.6979455329895
2005-11-23,397.210652331543
2005-11-24,397.210652331543
2005-11-25,399.38771520233155
2005-11-28,402.0235635662079
2005-11-29,402.36407383575437
2005-11-30,396.74762767028807
2005-12-01,405.36355120544437
2005-12-02,406.6157895339966
2005-12-05,410.3430141357422
2005-12-06,411.08941506958007
2005-12-07,414.51676953506467
2005-12-08,419.2482123260498
2005-12-09,423.208612323761
2005-12-12,424.52713109207156
2005-12-13,417.0789273216248
2005-12-14,406.4553976821899
2005-12-15,405.63777355194094
2005-12-16,404.4016162319183
2005-12-19,405.42606985473634
2005-12-20,395.94896739196776
2005-12-21,398.73679637336727
2005-12-22,405.0058450698853
2005-12-23,404.7791353736877
2005-12-26,404.7791353736877
2005-12-27,408.78633107299805
2005-12-28,415.49158485412596
2005-12-29,415.40923285217286
2005-12-30,416.26093077697755
2006-01-04,430.141653842926
2006-01-05,422.2686532310486
2006-01-06,433.3216458465576
2006-01-09,440.4308876914978
2006-01-10,435.77767107009885
2006-01-11,439.958936151123
2006-01-12,439.1684574623108
2006-01-13,447.3897009178162
2006-01-16,447.3897009178162
2006-01-17,445.8155624588013
2006-01-18,436.2637925376892
2006-01-19,448.5390342311859
2006-01-20,444.8899261489868
2006-01-23,449.7571686916352
2006-01-24,449.3231213092804
2006-01-25,452.6568150787354
2006-02-06,456.9363298339843
2006-02-07,439.89034770660396
2006-02-08,441.62824974823
2006-02-09,452.57484645843505
2006-02-10,441.14717137146
2006-02-13,432.2955938232422
2006-02-14,438.51918650779726
2006-02-15,432.66584249153135
2006-02-16,438.85329168472293
2006-02-17,442.3895206306458
2006-02-20,442.3895206306458
2006-02-21,443.63331140327455
2006-02-22,445.47039922828674
2006-02-23,439.7263230880738
2006-02-24,447.52364309082037
2006-02-27,444.0792498168945
2006-02-28,450.88690254592893
2006-03-01,450.98788773345944
2006-03-02,456.155569493866
2006-03-03,452.3786301879883
2006-03-06,443.94978232040404
