date,close
2021-03-26,1256.6638
2021-03-29,1250.7696
2021-03-30,1248.3415
2021-03-31,1248.3317
2021-04-01,1266.7451
2021-04-02,1299.9198
2021-04-06,1296.6196
2021-04-07,1298.7847
2021-04-08,1291.8566
2021-04-09,1271.4428
2021-04-12,1243.4959
2021-04-13,1241.3979
2021-04-14,1254.7097
2021-04-15,1264.1578
2021-04-16,1274.7023
2021-04-19,1299.0072
2021-04-20,1290.5026
2021-04-21,1286.855
2021-04-22,1305.1805
2021-04-23,1311.8272
2021-04-26,1314.9072
2021-04-27,1311.9129
2021-04-28,1324.2358
2021-04-29,1324.0547
2021-04-30,1322.2396
2021-05-06,1310.125
2021-05-07,1263.8969
2021-05-10,1254.4859
2021-05-11,1258.1073
2021-05-12,1270.9074
2021-05-13,1275.4766
2021-05-14,1300.5353
2021-05-17,1328.9164
2021-05-18,1321.6411
2021-05-19,1326.1434
2021-05-20,1329.7908
2021-05-21,1315.2065
2021-05-24,1330.8721
2021-05-25,1370.121
2021-05-26,1364.0368
2021-05-27,1397.7685
2021-05-28,1386.0385
2021-05-31,1442.6682
2021-06-01,1460.5432
2021-06-02,1426.8466
2021-06-03,1414.5342
2021-06-04,1431.5220000000006
2021-06-07,1433.565
2021-06-08,1419.0751
2021-06-09,1427.3210000000001
2021-06-10,1450.4038
2021-06-11,1436.2754
2021-06-15,1448.2004
2021-06-16,1406.4701
2021-06-17,1473.5119
2021-06-18,1494.7009
2021-06-21,1528.1267
2021-06-22,1523.3628
2021-06-23,1534.3008
2021-06-24,1504.8079
2021-06-25,1534.8494
2021-06-28,1562.9795
2021-06-29,1562.0783
2021-06-30,1588.2167
2021-07-01,1579.8041
2021-07-02,1538.1577
2021-07-05,1575.8944
2021-07-06,1532.7917
2021-07-07,1570.0279999999998
2021-07-08,1610.7749
2021-07-09,1583.7142
2021-07-12,1601.6058
2021-07-13,1590.9772
2021-07-14,1556.7196
2021-07-15,1560.7038
2021-07-16,1525.2341
2021-07-19,1514.1808
2021-07-20,1522.6265
2021-07-21,1565.6381
2021-07-22,1582.1315
2021-07-23,1563.4901
2021-07-26,1556.979
2021-07-27,1545.2893
2021-07-28,1518.7027
2021-07-29,1588.4653
2021-07-30,1591.2189
2021-08-02,1599.4739
2021-08-03,1564.1926
2021-08-04,1605.8939
2021-08-05,1604.8067
2021-08-06,1586.6732
2021-08-09,1574.4378
2021-08-10,1588.1948
2021-08-11,1578.7892
2021-08-12,1586.5006
2021-08-13,1552.7807
2021-08-16,1547.931
2021-08-17,1509.2474
2021-08-18,1507.9886
2021-08-19,1546.11
2021-08-20,1529.0863
2021-08-23,1564.1108
2021-08-24,1578.0306
2021-08-25,1542.7755
2021-08-26,1497.3375
2021-08-27,1480.3135
2021-08-30,1471.4549
2021-08-31,1441.1734
2021-09-01,1424.6642
2021-09-02,1399.4817
2021-09-03,1400.8902
2021-09-06,1438.9953
2021-09-07,1438.5691
2021-09-08,1412.7232
2021-09-09,1402.1908
2021-09-10,1426.8139999999999
2021-09-13,1384.4339
2021-09-14,1396.6687
2021-09-15,1384.5213
2021-09-16,1351.4252
2021-09-17,1349.6848
2021-09-22,1355.2812
2021-09-23,1363.7869
2021-09-24,1374.9995
2021-09-27,1368.6905
2021-09-28,1354.0959
2021-09-29,1345.7697
2021-09-30,1368.7158
2021-10-08,1364.4581
2021-10-11,1349.7707
2021-10-12,1319.3894
2021-10-13,1344.7629
2021-10-14,1347.268
2021-10-15,1363.1635
2021-10-18,1352.5749
2021-10-19,1366.7911
2021-10-20,1373.593
2021-10-21,1362.4049
2021-10-22,1368.1361
2021-10-25,1380.3088
2021-10-26,1376.1258
2021-10-27,1361.8172
2021-10-28,1356.3747
2021-10-29,1396.1952
2021-11-01,1404.2078
2021-11-02,1405.6405
2021-11-03,1399.5496
2021-11-04,1410.7421
2021-11-05,1396.7382
2021-11-08,1400.7951
2021-11-09,1420.5088
2021-11-10,1420.4519
2021-11-11,1437.1495
2021-11-12,1440.1567
2021-11-15,1432.5994
2021-11-16,1421.2749
2021-11-17,1436.1583
2021-11-18,1423.9704
2021-11-19,1444.7839
2021-11-22,1479.9874
2021-11-23,1476.2528
2021-11-24,1472.2247
2021-11-25,1468.072
2021-11-26,1459.9317
2021-11-29,1471.2291
2021-11-30,1475.7129
2021-12-01,1456.4829
